username,story_link_url,origin
sigofraseando,mercadolivre.com/sec/2ks4zgn,Mercado Livre
smsindelicado,mercadolivre.com/sec/2fw64di,Mercado Livre
smsindelicado,mercadolivre.com/sec/2dphajx,Mercado Livre
smsindelicado,mercadolivre.com/sec/1heqt23,Mercado Livre
smsindelicado,mercadolivre.com/sec/2tlsiwx,Mercado Livre
smsindelicado,mercadolivre.com/sec/2dmwj9w,Mercado Livre
smsindelicado,mercadolivre.com/sec/1r6eewk,Mercado Livre
smsindelicado,mercadolivre.com/sec/17z9eb3,Mercado Livre
sobreautoestima,mercadolivre.com/sec/2ylsrka,Mercado Livre
sobreautoestima,mercadolivre.com/sec/1j9sdyw,Mercado Livre
tip0grafia2000,mercadolivre.com/sec/1fyqmcv,Mercado Livre
tip0grafia2000,mercadolivre.com/sec/2ks4zgn,Mercado Livre
traumatizaram,mercadolivre.com/sec/1fyqmcv,Mercado Livre
traumatizaram,mercadolivre.com/sec/1hzsqn9,Mercado Livre
traumatizaram,mercadolivre.com/sec/2ks4zgn,Mercado Livre
tribovisionaria,mercadolivre.com/sec/28jkqua,Mercado Livre
tribovisionaria,mercadolivre.com/sec/31i7xrx,Mercado Livre
tribovisionaria,mercadolivre.com/sec/2zgkt1g,Mercado Livre
tribovisionaria,mercadolivre.com/sec/2flhzct,Mercado Livre
tribovisionaria,mercadolivre.com/sec/28lcpxh,Mercado Livre
tribovisionaria,mercadolivre.com/sec/2wjxkpu,Mercado Livre
tribovisionaria,mercadolivre.com/sec/1kkokpv,Mercado Livre
tribovisionaria,mercadolivre.com/sec/12rd1s2,Mercado Livre
tribovisionaria,mercadolivre.com/sec/2cwcvuc,Mercado Livre
tribovisionaria,mercadolivre.com/sec/1a22nqx,Mercado Livre
tribovisionaria,encurtador.com.br/pktj,Encurtador
uma.dose.de.caos,mercadolivre.com/sec/1fyqmcv,Mercado Livre
uma.dose.de.caos,mercadolivre.com/sec/1hzsqn9,Mercado Livre
uma.dose.de.caos,mercadolivre.com/sec/2ks4zgn,Mercado Livre
uma.dose.de.caos,mercadolivre.com/sec/1j9sdyw,Mercado Livre
valordamente,mercadolivre.com/sec/2rxtq3t,Mercado Livre
vencinavida,mercadolivre.com/sec/1ye8kxx,Mercado Livre
vencinavida,mercadolivre.com/sec/12teejr,Mercado Livre
vencinavida,mercadolivre.com/sec/1myy7jt,Mercado Livre
vencinavida,mercadolivre.com/sec/2mrafsy,Mercado Livre
vivapradeus,mercadolivre.com/sec/1fyqmcv,Mercado Livre
vivapradeus,mercadolivre.com/sec/1hzsqn9,Mercado Livre
vivapradeus,mercadolivre.com/sec/28ztujo,Mercado Livre
vivapradeus,mercadolivre.com/sec/2ks4zgn,Mercado Livre
vozdoevangellhoo,mercadolivre.com/sec/1j9sdyw,Mercado Livre
